

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
410.480  003.137  003.137: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
411.089  000.226  000.226: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/vim-rhubarb/plugin/rhubarb.vim
412.157  000.806  000.806: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/vim-sleuth/plugin/sleuth.vim
413.506  000.997  000.997: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
414.052  000.068  000.068: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
414.541  000.075  000.075: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/zen-mode.nvim/plugin/zen-mode.vim
414.758  013.334: loading packages
416.728  000.292  000.292: require('cmp_buffer.timer')
416.763  000.892  000.600: require('cmp_buffer.buffer')
416.771  001.131  000.239: require('cmp_buffer.source')
416.778  001.271  000.140: require('cmp_buffer')
416.868  001.427  000.156: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
417.204  000.103  000.103: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
417.608  000.224  000.224: require('cmp_nvim_lua')
417.648  000.295  000.071: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
418.144  000.353  000.353: require('cmp_path')
418.186  000.427  000.073: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
418.625  000.271  000.271: require('cmp_luasnip')
418.700  000.394  000.123: sourcing /home/rahim/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
420.777  000.384  000.384: require('nvim-autopairs._log')
421.408  000.621  000.621: require('nvim-autopairs.utils')
422.950  000.602  000.602: require('nvim-autopairs.conds')
422.971  001.098  000.496: require('nvim-autopairs.rule')
422.976  001.558  000.460: require('nvim-autopairs.rules.basic')
422.995  003.956  001.394: require('nvim-autopairs')
